,Movie title,Duration,Genre,Description,Image link
10,Sound Of Silence (PG),88 minutes,Drama,"Set in a beautiful Himalayan valley, it's a journey of a neglected and abandoned mute boy, who loses his mother at birth and is furiously neglected by his father. When his father goes behind bars, the boy stares at a lonely and deserted life ahead. His relationship with an elderly Buddhist monk helps him to detach from his voiceless suffering and to explore the bond that each creation shares with nature. With nowhere to go, he joins a Budhist monastery even as he fights an inner battle of unrequited love.",https://www.gv.com.sg/media/imagesresize/img3515.jpg
11,Brother Of The Year (PG13: Some Coarse Language),124 minutes,Comedy/ Romance,The top-grossing Thai movie of 2018! A romantic comedy involving a savage brother who constantly meddles in his younger sister’s perfect love life.,https://www.gv.com.sg/media/imagesresize/img3516.jpg
12,Mudras Calling (PG),106 minutes,Romance/ Drama,"Myanmar born, US-raised music student Jaden, makes his way through the crowded streets of Yangon, Myanmar to research his thesis on Burmese traditional music. His guide, beautiful and proud Burmese dancer Hnin Thuzar, accompanies him as he travels through the unique landscape of Bagan, Mandalay and Inle Lake in Shan State. When he asks her help locating his birth parents, their journey takes on another dimension. As he gets to know her, their cultural divide becomes more apparent, but it takes a tragic accident to make him realize he’s falling in love with her.",https://www.gv.com.sg/media/imagesresize/img3517.jpg
13,Laplace's Witch (PG),116 minutes,Suspense/ Thriller,"When a series of inexplicable deaths by hydrogen sulphide poisoning occurs, a university geochemistry professor Shusuke Aoe (Sho Sakurai) is engaged to consult on the cases. During his course of investigation, he meets a strange girl Madoka Uhara (Suzu Hirose) with extraordinary abilities, who is searching for a missing friend. Calling herself ""Laplace's Witch"", she will bring new clues to the table that will change Aoe's beliefs forever...",https://www.gv.com.sg/media/imagesresize/img3518.jpg
14,Danur 2 - Maddah (PG13: Horror),92 minutes,Horror,"Danur 2 Maddah the sequel of ""Ghost Danur"" tells the story of Risa with his best friend, namely; William, Peter, Hans, Janshen and Hendrik. But now their friendship is coming to two new members, Norma and Marianne. But with the presence of selfish and hard-hearted Marianne, Peter and his friends were uncomfortable. On the other hand, Risa has grown up and is busy in the real world. But Risa realized that her friendship with Pater and her friends was now threatened. From there Risa began to visit a new place in the house by the five of her best friends, an old school. There he met two new members, Norma and Marianne and some ghosts living in that old school.",https://www.gv.com.sg/media/imagesresize/img3519.jpg
15,Sid & Aya - Not A Love Story (PG13: Some Coarse Language),98 minutes,Romance/ Drama,"Sid (Dingdong Dantes) is a guy who suffers from insomnia. Through the many lonely nights, he meet Aya (Anne Curtis). Who is she really? And how will she change Sid's life?",https://www.gv.com.sg/media/imagesresize/img3520.jpg
16,2359: The Haunting Hour (PG13: Horror & Some Sexual References),89 minutes,Horror,"Following the box office success of 23:59, The franchise 2359: THE HAUNTING HOUR continues to tell horror encounters of camp mates during their army days. This time, the movie features a trifecta of horror stories span over different critical eras in the history of Singapore’s National Service. The various eras will be represented by the iconic uniforms of the time.",https://www.gv.com.sg/media/imagesresize/img3521.jpg
17,Over Drive (PG),105 minutes,Action/ Adventure,"Two brothers Naozumi (Mackenyu Arata 新田真剑佑) and Atsuhiro Hiyama (Masahiro Higashide 东出昌大) are the racer and chief mechanic of SPICA Racing Factory respectively. Aiming for the World Rally Championship, Naozumi has to beat his rival Akira Shinkai (Takumi Kitamura北村匠海) at the Seiko Cup Rally Series (SCRS), in order to qualify for it. Desperate to win, Naozumi drives recklessly, often crashing his car, much to Atsuhiro's dissent. Naozumi believes that speed is all it takes to win, but to Atsuhiro, it is more than that. Their conflict in opinions causes their relationship to sour. Will the brothers work through their differences to win the ultimate race?",https://www.gv.com.sg/media/imagesresize/img3522.jpg
18,Burning (M18: Sexual Scene),148 minutes,Mystery/ Drama,"Deliveryman Jongsu is out on a job when he runs into Haemi, a girl who once lived in his neighborhood. She asks if he'd mind looking after her cat while she's away on a trip to Africa. On her return she introduces to Jongsu an enigmatic young man named Ben, who she met during her trip. And one day Ben tells Jongsu about his most unusual hobby...",https://www.gv.com.sg/media/imagesresize/img3523.jpg
19,Shoplifters (M18: Some Sexual Scenes),121 minutes,Drama,"After one of their shoplifting sessions, Osamu and his son come across a little girl in the freezing cold. At first reluctant to shelter the girl, Osamu’s wife agrees to take care of her after learning of the hardships she faces. Although the family is poor, barely making enough money to survive through petty crime, they seem to live happily together until an unforeseen incident reveals hidden secrets, testing the bonds that unite them…",https://www.gv.com.sg/media/imagesresize/img3524.jpg
