,Movie title,Duration,Genre,Description,Image link
44,The Hunger Games: Mockingjay Part 2 (PG13: Some Violence),136 minutes,Action/ Adventure,"The Hunger Games: Mockingjay - Part 2 brings the franchise to its powerful final chapter, in which Katniss Everdeen (Jennifer Lawrence) realizes the stakes are no longer just for survival—they are for the future.",http://media.gv.com.sg/imagesresize/img5511.jpg
45,Molly Moon And The Incredible Book Of Hypnotism (PG),98 minutes,Fantasy,"Orphan, Molly Moon, lives a hard life in a cold, run down orphanage, run by Miss Adderstone, a woman of cruel rules.",http://media.gv.com.sg/imagesresize/img5512.jpg
46,The Last Witch Hunter (PG13: Some Violence),107 minutes,Action/ Adventure,The last witch hunter (Vin Diesel) is all that stands between humanity and the combined forces of the most horrifying witches in history.,http://media.gv.com.sg/imagesresize/img5513.jpg
47,(Eng Sub) Maze Runner: The Scorch Trials (PG: Some Violence),132 minutes,Sci-Fiction,"In this next chapter of the epic ""Maze Runner"" saga, Thomas (Dylan O'Brien) and his fellow Gladers face their greatest challenge yet: searching for clues about the mysterious and powerful organization known as WCKD. Their journey takes them to the Scorch, a desolate landscape filled with unimaginable obstacles. Teaming up with resistance fighters, the Gladers take on WCKD's vastly superior forces and uncover its shocking plans for them all.",http://media.gv.com.sg/imagesresize/img5412.jpg
48,(Eng Sub) The Martian (PG13: Some Coarse Language & Disturbing Scenes),142 minutes,Action/ Adventure,"During a manned mission to Mars, Astronaut Mark Watney (Matt Damon) is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive. Millions of miles away, NASA and a team of international scientists work tirelessly to bring “the Martian” home, while his crewmates concurrently plot a daring, if not impossible rescue mission. As these stories of incredible bravery unfold, the world comes together to root for Watney’s safe return. Based on a best-selling novel, and helmed by master director Ridley Scott, THE MARTIAN features a star studded cast that includes Jessica Chastain, Kristen Wiig, Kate Mara, Michael Peña, Jeff Daniels, Chiwetel Ejiofor, and Donald Glover.",https://www.gv.com.sg/media/imagesresize/img5485.jpg
49,The 33 (PG: Some Violence),126 minutes,Drama,"In 2010, the eyes of the world turned to Chile, where 33 miners had been buried alive by the catastrophic explosion and collapse of a 100-year-old gold and copper mine. Over the next 69 days, an international team worked night and day in a desperate attempt to rescue the trapped men as their families and friends, as well as millions of people globally, waited and watched anxiously for any sign of hope. But 200 stories beneath the surface, in the suffocating heat and with tensions rising, provisions—and time—were quickly running out. A story of resilience, personal transformation and triumph of the human spirit, the film takes us to the Earth’s darkest depths, revealing the psyches of the men trapped in the mine, and depicting the courage of both the miners and their families who refused to give up. Based on the gripping true story of survival—and filmed with the cooperation of the miners, their families and their rescuers—“The 33” reveals the never-before-seen actual events that unfolded, above and below ground, which became nothing less than a worldwide phenomenon.",https://www.gv.com.sg/media/imagesresize/img5516.jpg
50,The Good Dinosaur (PG),101 minutes,Animation,"""The Good Dinosaur"" asks the question: What if the asteroid that forever changed life on Earth missed the planet completely and giant dinosaurs never became extinct? Pixar Animation Studios takes you on an epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend. While traveling through a harsh and mysterious landscape, Arlo learns the power of confronting his fears and discovers what he is truly capable of.",https://www.gv.com.sg/media/imagesresize/img5517.jpg
51,Snoopy And Charlie Brown: The Peanuts Movie (G),93 minutes,Animation,"Charlie Brown, Snoopy, Lucy, Linus and the rest of the beloved “Peanuts” gang make their big-screen debut, like they’ve never been seen before, in state-of-the-art 3D animation. Snoopy, the world’s most lovable beagle—and flying ace—embarks upon his greatest mission as he takes to the skies to pursue his arch-nemesis The Red Baron, while his best pal, Charlie Brown, begins his own epic quest. From the imagination of Charles M. Schulz and the creators of the ICE AGE films, THE PEANUTS MOVIE will prove that every underdog has his day.",https://www.gv.com.sg/media/imagesresize/img5518a.jpg
52,Star Wars: The Force Awakens (PG: Some Violence),136 minutes,Action/ Adventure,"Star Wars: The Force Awakens is directed by J.J. Abrams from a screenplay by Lawrence Kasdan & Abrams, and features a cast including actors John Boyega, Daisy Ridley, Adam Driver, Oscar Isaac, Andy Serkis, Academy Award winner Lupita Nyong’o, Gwendoline Christie, Crystal Clarke, Pip Andersen, Domhnall Gleeson, and Max von Sydow. They will join the original stars of the saga, Harrison Ford, Carrie Fisher, Mark Hamill, Anthony Daniels, Peter Mayhew, and Kenny Baker. The film is being produced by Kathleen Kennedy, J.J. Abrams, and Bryan Burk, and John Williams returns as the composer. Star Wars: The Force Awakens is Episode VII in the Star Wars Saga.",https://www.gv.com.sg/media/imagesresize/img5519a.jpg
53,(3D) Hotel Transylvania 2 (PG),89 minutes,Animation,"The Drac pack is back for an all-new monster comedy adventure in Sony Pictures Animation's Hotel Transylvania 2! Everything seems to be changing for the better at Hotel Transylvania... Dracula’s rigid monster-only hotel policy has finally relaxed, opening up its doors to human guests. But behind closed coffins, Drac is worried that his adorable half-human, half-vampire grandson, Dennis, isn’t showing signs of being a vampire. So while Mavis is busy visiting her human in-laws with Johnny—and in for a major cultural shock of her own—“Vampa” Drac enlists his friends Frank, Murray, Wayne and Griffin to put Dennis through a “monster-in-training” boot camp. But little do they know that Drac’s grumpy and very old, old, old school dad Vlad is about to pay a family visit to the hotel. And when Vlad finds out that his great-grandson is not a pure blood—and humans are now welcome at Hotel Transylvania—things are going to get batty!",http://media.gv.com.sg/imagesresize/img5413.jpg
54,(D-Box) Hotel Transylvania 2 (PG),89 minutes,Animation,"The Drac pack is back for an all-new monster comedy adventure in Sony Pictures Animation's Hotel Transylvania 2! Everything seems to be changing for the better at Hotel Transylvania... Dracula’s rigid monster-only hotel policy has finally relaxed, opening up its doors to human guests. But behind closed coffins, Drac is worried that his adorable half-human, half-vampire grandson, Dennis, isn’t showing signs of being a vampire. So while Mavis is busy visiting her human in-laws with Johnny—and in for a major cultural shock of her own—“Vampa” Drac enlists his friends Frank, Murray, Wayne and Griffin to put Dennis through a “monster-in-training” boot camp. But little do they know that Drac’s grumpy and very old, old, old school dad Vlad is about to pay a family visit to the hotel. And when Vlad finds out that his great-grandson is not a pure blood—and humans are now welcome at Hotel Transylvania—things are going to get batty!",http://media.gv.com.sg/imagesresize/img5413.jpg
55,(Atmos) Everest (PG: Some Intense Sequences),122 minutes,Drama/ Thriller,"2 Guns helmer Baltasar Kormakur directs Jake Gyllenhaal, Josh Brolin, Jason Clarke, and John Hawkes in this adventure docudrama set in 1996, when a number of simultaneous expeditions up Mount Everest resulted in the deaths of eight climbers",http://media.gv.com.sg/imagesresize/img5438.jpg
56,(Eng Sub) Everest (PG: Some Intense Sequences),122 minutes,Drama/ Thriller,"2 Guns helmer Baltasar Kormakur directs Jake Gyllenhaal, Josh Brolin, Jason Clarke, and John Hawkes in this adventure docudrama set in 1996, when a number of simultaneous expeditions up Mount Everest resulted in the deaths of eight climbers",http://media.gv.com.sg/imagesresize/img5438.jpg
